CO2 emissions (non-biogenic) 
29.4
21.5
617.5
3.2
1.7
35.1
2.0
200.4
11.2
1.8
0.5
30.7
39.2
38.9
7.8
4.1
1.9
0.4
4.4
26.6
31.6
22.0
1.7
0.0
2847.2
144.5
4929.4
72.6
37.9
